"ID","OUTCOME_ID","NUM","TITLE"
"113","61","1","Improving the Outlook for the Great Barrier Reef"
"114","62","1","Sydney Harbour Federation Trust"
"115","63","1","Deliver Electoral Events"
"116","64","1","Superannuation Scheme Governance"
"117","65","1","Management of the Investment of the Future Fund"
"118","65","2","Management of the Investment of the Australian Government Investment Funds"
"119","66","1","Public Sector Governance"
"120","66","2","Transforming Government"
"121","66","3","Property and Construction"
"122","66","4","Insurance and Risk Management"
"123","66","5","Technology and Procurement Services"
"124","66","6","Service Delivery Office"
"125","66","7","Public Sector Superannuation"
"126","66","8","Australian Government Investment Funds"
"127","67","1","Budget and Financial Management"
"128","68","1","Ministerial and Parliamentary Services"
"129","69","1","Independent Parliamentary Expenses Authority - Travel Oversight and Reporting"
"130","70","1","International Agricultural Research and Development"
"131","71","1","Promotion of Australia's export and other international economic interests"
"132","71","2","Programmes to promote Australia's exports and other international economic interests"
"133","72","2","Programmes to promote Australia's exports and other international economic interests"
"134","73","1","Consular Services"
"135","74","1","Foreign Affairs and Trade Operations"
"136","74","2","Official Development Assistance"
"137","74","7","Programs to Promote Australia's International Tourism Interests"
"138","75","1","Foreign Affairs and Trade Operations"
"139","75","2","Official Development Assistance"
"140","75","3","Official Development Assistance - Multilateral Replenishments"
"141","75","4","Payments to International Organisations"
"142","75","5","New Colombo Plan - Transforming Regional Relationships"
"143","75","6","Public Information Services and Public Diplomacy"
"144","75","7","Programs to Promote Australia's International Tourism Interests"
"145","76","1","Consular Services"
"146","76","2","Passport Services"
"147","77","1","Foreign Affairs and Trade Security and IT"
"148","77","2","Overseas Property"
"149","78","1","Secret Intelligence"
"150","78","2","Other Services"
"151","79","1","Supporting Outcome 1"
"152","80","1","Supporting Outcome 1"
"153","81","1","Quality Assessment, Compliance Monitoring and Promotion of High Quality Care in Australian Government Subsidised Aged Care Services"
"154","82","1","Safety and Quality in Health Care"
"155","83","1","Digital Health"
"156","84","1","Develop, Collect, Analyse and Report High Quality National Health and Welfare Information and Statistics for Governments and the Community"
"157","85","1","Radiation Protection and Nuclear Safety"
"158","86","1","Engagement, Deterrence, Detection and Enforcement"
"159","87","1","Australian Sports Commission"
"160","88","1","Improved Cancer Control"
"161","89","1","Food Regulatory Activity and Services to the Minister and Parliament"
"162","90","1","Protect the Health and Safety of the Community through Regulation"
"163","90","2","Health Protection and Emergency Response (h)"
"164","90","3","Immunisation (h)"
"165","91","1","Medical Benefits"
"166","91","2","Hearing Services"
"167","91","3","Pharmaceutical Benefits (d)"
"168","91","4","Private Health Insurance"
"169","91","5","Medical Indemnity"
"170","91","6","Dental Services (d)"
"171","91","7","Health Benefit Compliance"
"172","91","8","Targeted Assistance - Aids and Appliances"
"173","92","1","Sport and Recreation (a)"
"174","93","1","Access and Information"
"175","93","2","Aged Care Services (e)"
"176","93","3","Aged Care Quality"
"177","94","1","Mental Health (a)"
"178","94","2","Aboriginal and Torres Strait Islander Health (a)"
"179","94","3","Health Workforce"
"180","94","4","Preventative Health and Chronic Disease (a)"
"181","94","5","Primary Health Care Quality and Coordination"
"182","94","6","Primary Care Practice Incentives"
"183","94","7","Hospital Services (a)"
"184","95","1","Health Policy Research and Analysis (a)"
"185","95","2","Health Innovation and Technology"
"186","95","3","Health Infrastructure (a)"
"187","95","4","Health Peak and Advisory Bodies"
"188","95","5","International Policy"
"189","96","1","Public Hospital Price Determinations"
"190","97","1","National Blood Agreement Management"
"191","98","1","National Health Funding Pool Administration"
"192","99","1","Health and Medical Research"
"193","100","1","National Mental Health Commission"
"194","101","1","A Nationally Coordinated System for Organ and Tissue Donation for Transplantation"
"195","102","1","Safeguarding the Integrity of the Medicare Program and Pharmaceutical Benefits Scheme"
"196","103","1","Australian Criminal Intelligence Commission"
"197","104","1","Federal Policing and National Security"
"198","104","2","International Policing Assistance"
"199","105","1","ACT Community Policing"
"200","106","1","Australian Institute of Criminology"
"201","107","1","AUSTRAC"
"202","108","1","Multicultural Affairs and Citizenship"
"203","108","2","Migration"
"204","108","3","Visas"
"205","108","4","Refugee and Humanitarian Assistance"
"206","109","1","Border—Revenue Collection"
"207","109","2","Trade Facilitation and Industry Engagement"
"208","110","1","Border Enforcement"
"209","110","2","Border Management"
"210","110","3","Onshore Compliance and Detention"
"211","110","4","IMA Offshore Management"
"212","110","5","Regional Cooperation"
"213","110","6","Transport Security"
"214","110","7","National Security and Criminal Justice"
"215","110","8","Cyber Security"
"216","110","9","Counter Terrorism"
"217","110","10","Australian Government Disaster Financial Support Payments"
"218","111","1","Services to the Community - Social Security and Welfare"
"219","111","2","Services to the Community - Health"
"220","111","3","Child Support"
"221","112","1","Australian Maritime Safety Authority"
"222","113","1","Australian Transport Safety Bureau"
"223","114","1","Civil Aviation Safety Authority"
"224","115","1","Infrastructure Investment"
"225","116","1","Regional Development"
"226","116","3","Cities"
"227","117","1","Services to territories"
"228","118","4","Air Transport"
"229","119","1","Infrastructure Australia"
"230","120","1","IPFA - Departmental - Outcome 1"
"231","121","1","National Capital Functions"
"232","121","2","National Capital Estate"
"233","122","1","National Transport Commission"
"234","123","1","Marine Research"
"235","124","1","Science and Technology Solutions"
"236","125","1","Research - Science, Services and Innovation Fund"
"237","125","2","National Research Infrastructure - National Facilities and Collections"
"238","125","3","Science and Industry Endowment Fund"
"239","126","3","Program Support(a)"
"240","127","1","Supporting Science and Commercialisation"
"241","128","1","Supporting Science and Commercialisation"
"242","128","2","Growing Business Investment and Improving Business Capability"
"243","128","3","Program Support"
"244","129","2",
"245","130","2","Growing Business Investment and Improving Business Capability"
"246","131","1","Geoscientific and Spatial Information Services"
"247","132","1","IP Rights Administration and Professional Registration"
"248","132","2","Education and Awareness"
"249","132","3","Advice to Government and International Engagement"
"250","133","1","Northern Australia Infrastructure Facility"
"251","134","1","Regulatory oversight of Safety Cases, Well Operations Management Plans and Environment Plans coupled with effecive monitoring, investigation and enforcement"
"252","135","1","Education Services and Compliance Activities"
"253","136","1","Asbestos Safety and Eradication Agency"
"254","137","1","Comcare Departmental"
"255","138","1","Comcare Departmental"
"256","139","1","Dispute resolution, minimum wage setting, orders and approvals of agreeements"
"257","140","1","Education Services and Compliance Activities—To educate employers, employees, organisations and contractors about the workplace relations system and to ensure compliance with workplace laws."
"258","141","1","Registered Organisations Commission"
"259","142","1","Workplace Support"
"260","142","2","Workers' Compensation Payments"
"261","142","3","Small Business Support"
"262","143","1","Employment Services"
"263","144","1","Reform of and improvements to Australian work health and safety and workers' compensation arrangements."
"264","145","1","Parliamentary Services"
"265","145","2","Parliament House Works Program"
"266","146","1","Other Departmental DHOR"
"267","146","2","Schools Hospitality"
"268","147","1","Other Departmental DHOR"
"269","147","2","Administered"
"270","148","2","(Insert program name)"
"271","150","1","Department of the Senate"
"272","151","1","Company Operated Hostels"
"273","152","1","Australian Institute of Aboriginal and Torres Strait Islander Studies"
"274","153","1","Assurance Audit Services"
"275","153","2","Performance Audit Services"
"276","154","1","Australian Public Service Commission"
"277","154","2","Judicial Office Holders' Remuneration and Entitlements (c)"
"278","155","1","Digital Transformation Agency"
"279","156","1","Equities and Investments Program 1.1: Equities and Investments"
"280","156","2","Indigenous Home Ownership"
"281","156","3","Business Development and Assistance"
"282","157","1","Assistance in the acquisition and management of an Indigenous land base"
"283","158","1","Office of the Commonwealth Ombudsman"
"284","159","1","Office of the Inspector-General of Intelligence and Security"
"285","160","1","Assessment and Reports"
"286","160","2","Coordination and Evaluation"
"287","161","1","Support of the Governor-General and Official Activities."
"288","162","1","Jobs, Land and Economy"
"289","162","2","Children and Schooling (b)"
"290","162","3","Safety and Wellbeing"
"291","162","4","Culture and Capability"
"292","162","5","Remote Australia Strategies"
"293","162","6","Evaluation and Research"
"294","162","7","Program Support"
"295","163","1","Prime Minister and Cabinet"
"296","163","1","Prime Minister and Cabinet"
"297","164","1","Torres Strait Regional Development"
"298","165","1","Workplace Gender Equality"
"299","166","1","- Australian Institute of Family Studies"
"300","167","1","- Family Tax Benefit"
"301","167","2","- Child Payments"
"302","167","3","- Income Support for Vulnerable People"
"303","167","4","- Income Support for People in Special Circumstances"
"304","167","5","- Supplementary Payments and Support for Income Support Recipients"
"305","167","6","- Income Support for Seniors"
"306","167","7","- Allowances and Concessions for Seniors"
"307","167","8","- Income Support for People with Disability"
"308","167","9","- Income Support for Carers"
"309","167","10","- Working Age Payments"
"310","167","11","- Student Payments"
"311","167","12","- Program Support for Outcome 1"
"312","168","1","- Families and Communities"
"313","168","2","- Paid Parental Leave"
"314","168","3","- Social and Community Services"
"315","168","4","- Program Support for Outcome 2"
"316","169","1","- Families and Communities"
"317","169","2","- Paid Parental Leave"
"318","169","3","- Social and Community Services"
"319","169","4","- Program Support for Outcome 2"
"320","170","1","- Families and Communities"
"321","171","1","- Family Tax Benefit"
"322","171","2","- Child Payments"
"323","171","3","- Income Support for Vulnerable People"
"324","171","4","- Income Support for People in Special Circumstances"
"325","171","5","- Supplementary Payments and Support for Income Support Recipients"
"326","171","6","- Income Support for Seniors"
"327","171","7","- Allowances and Concessions for Seniors"
"328","171","8","- Income Support for People with Disability"
"329","171","9","- Income Support for Carers"
"330","171","10","- Working Age Payments"
"331","171","11","- Student Payments"
"332","172","10","- Working Age Payments"
"333","174","2","- National Disability Insurance Scheme"
"334","175","1","- Disability Mental Health and Carers"
"335","175","2","- National Disability Insurance Scheme"
"336","175","3","- Program Support for Outcome 3"
"337","176","1","- Housing and Homelessness"
"338","176","2","- Affordable Housing"
"339","177","1","- Housing and Homelessness"
"340","177","2","- Affordable Housing"
"341","177","3","- Program Support for Outcome 4"
"342","178","1","- Reasonable and necessary support for participants"
"343","178","2","- Community inclusion and capacity development grants"
"344","178","3","- Agency costs"
"345","179","1","- Support for National Disability Insurance Scheme providers in relation to registration"
"346","179","2","- Program Support for the NDIS Quality and Safeguards Commission"
"347","180","1","Australian Accounting Standards Board"
"348","181","1","Australian Bureau of Statistics"
"349","182","1","Australian Competition and Consumer Commission"
"350","182","2","Australian Energy Regulator"
"351","183","1","Australian Office of Financial Management"
"352","184","1","Australian Prudential Regulation Authority"
"353","185","1","Australian Securities and Investments Commission"
"354","185","2","Banking Act 1959, Life Insurance Act 1995, unclaimed monies and special accounts"
"355","186","1","Australian Taxation Office"
"356","186","2","Tax Practitioners Board"
"357","186","3","Australian Business Register"
"358","186","4","Australian Charities and Not-for-profits"
"359","186","5","Australian Screen Production Incentive"
"360","186","6","Junior Minerals Exploration Incentive"
"361","186","7","Fuel Tax Credit Scheme"
"362","186","8","National Rental Affordability Scheme"
"363","186","9","Product Stewardship for Oil"
"364","186","10","Research & Development Tax Incentive"
"365","186","11","Low Income Superannuation Tax Offset"
"366","186","12","Private Health Insurance Rebate"
"367","186","13","Superannuation Co-contribution Scheme"
"368","186","14","Superannuation Guarantee Scheme"
"369","186","15","Targeted assistance through the taxation system"
"370","186","16","Interest on Overpayment and Early Payments"
"371","186","17","Bad & Doubtful Debts & Remissions"
"372","186","18","Other Administered"
"373","186","18","Other Administered"
"374","188","1","Auditing and Assurance Standards Board"
"375","189","1","Commonwealth Grants Commission"
"376","190","1","Inspector-General of Taxation"
"377","191","1","Royal Australian Mint"
"378","192","1","National Competition Council"
"379","193","1","Productivity Commission"
"380","194","1","Department of the Treasury"
"381","194","2","Payments to International Financial Institutions"
"382","194","3","Support for Markets and Business"
"383","194","4","General Revenue Assistance"
"384","194","5","Assistance to the States for Healthcare Services"
"385","194","6","Assistance to the States for Skills and Workforce Development"
"386","194","7","Assistance to the States for Disability Services"
"387","194","8","Assistance to the States for Affordable Housing"
"388","194","9","National Partnership Payments to the States"
"389","195","9","National Partnership Payments to the States"
"390","196","1","Australian War Memorial"
"391","197","1","Australian War Memorial"
"392","198","1","War Graves1(a)"
"393","198","2","Commemorative Activities(a)"
"394","199","4","Veterans' Community Care and Support"
"395","200","1","Veterans' Income Support and Allowances"
"396","200","2","Veterans' Disability Support"
"397","200","3","Assistance to Defence Widow/ers and Dependants"
"398","201","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision - Income Support and Compensation"
"399","202","5","Veterans' Counselling and Other Health Services"
"400","203","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision - Health and Other Care Services"
"401","204","1","General Medical Consultations and Services"
"402","204","2","Veterans' Hospital Services"
"403","204","3","Veterans' Pharmaceuticals Benefits"
"404","205","6","Military Rehabilitation and Compensation Acts - Health and Other Care Services"
"405","205","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision -"
"406","206","4","Veterans' Community Care and Support"
"407","206","5","Veterans' Counselling and Other Health Services"
"408","206","6","Military Rehabilitation and Compensation Acts - Health and Other Care Services"
"409","207","1","War Graves"
"410","207","2","Commemorative Activities"
"411","208","1","General Medical Consultations and Services"
"412","208","2","Veterans' Hospital Services"
"413","208","3","Veterans' Pharmaceuticals Benefits"
"414","209","6","Military Rehabilitation and Compensation Acts Payments -"
"415","209","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision -"
"416","210","4","Assistance and Other Compensation for Veterans and Dependants"
"417","210","5","Veterans' Children Education Scheme"
"418","210","6","Military Rehabilitation and Compensation Acts Payments - Income Support and Compensation"
"419","211","1","Veterans' Income Support and Allowances"
"420","211","2","Veterans' Disability Support"
"421","211","3","Assistance to Defence Widow/ers and Dependants"
"422","212","4","Assistance and Other Compensation for Veterans and Dependants"
"423","212","5","Veterans' Children Education Scheme"
"424","213","1","Auditing and Assurance Standards Board"
"425","214","1","Develop and deliver information publications and education services that promote high quality aged care"
"426","215","1","Australian Accounting Standards Board"
"427","216","1","Administrative Appeals Tribunal"
"428","217","1","(ABC General Operational Activities)"
"429","217","2","(ABC Transmission and Distribution Services)"
"430","218","1","Australian Bureau of Statistics"
"431","219","1","National Curriculum"
"432","219","2","National Data Collection and Reporting"
"433","219","3","National Assessment"
"434","219","4","National Collabration and Leadership"
"435","220","1","Australian Crime Commission"
"436","221","1","International Agricultural Research and Development"
"437","222","1","Detect, investigate and prevent corruption in prescribed law enforcement agencies; assist law enforcement agencies to maintain and improve the integrity of staff members"
"438","223","1","Communications regulation, planning and licensing"
"439","223","2","Consumer safeguards, education and information"
"440","223","3","Office of the Children's eSafety Commissioner"
"441","224","1","Safety and quality in health care"
"442","225","1","Digital Health"
"443","226","1","Deliver Electoral Events"
"444","227","1","Australian Fisheries Management Authority"
"445","228","1","Federal Policing and National Security"
"446","228","2","International Policing Assistance"
"447","229","1","(ACT Community Policing)"
"448","230","1","Personal Insolvency and Trustee Services"
"449","230","2","Operation of a National Register of Security Interests in Personal Property"
"450","231","1","Delivery of specialist education to meet the diverse creative needs of students and the skill requirements of industry by means of Award courses, activities and events and through its Open Program"
"451","234","1","Arts and Cultural Development"
"452","235","1","Australian Grape and Wine Authority"
"453","236","1","Company Operated Hostels"
"454","237","1","Australians have access to independent human rights complaint handling and public inquiries processes and benefit from human rights education, promotion and monitoring, and compliance activities"
"455","238","1","AIATSIS Research, Collections, Publications and Communication"
"456","239","1","Australian Institute of Criminology"
"457","240","1","(Australian Institute of Family Studies)"
"458","241","1","Develop, collect, analyse and report high quality national health and"
"459","242","1","Marine Research"
"460","243","1","Assistance for Quality Teaching and Learning"
"461","244","1",": Conducting inquiries into aspects of Australian law and related processes for the purpose of law reform"
"462","245","1","Australian Maritime Safety Authority"
"463","246","1","Assurance Audit Services"
"464","246","2","Performance Audit Services"
"465","247","1","Management of maritime heritage"
"466","248","1","Science and Technology Solutions"
"467","249","1","Australian Office of Financial Management"
"468","250","1","Coordination of organ and tissue donation and transplantation"
"469","251","1","Australia Prudential Regulation Authority"
"470","252","1","Australian Public Service Commission"
"471","252","2","Parliamentarians' and Judicial Office Holders' Remuneration and Entitlements"
"472","253","1","Australian Pesticides and Veterinary Medicines Authority"
"473","254","1","Discovery - research and research training"
"474","254","2","Linkage - cross-sector research partnerships"
"475","254","3","Excellence in Research for Australia"
"476","254","4","ARC Departmental"
"477","255","1","- Discovery"
"478","255","2","- Linkage"
"479","256","1","Australian Renewable Energy Agency"
"480","257","1","Radiation protection and nuclear safety"
"481","258","1","Engagement, Deterrence, Detection and Enforcement"
"482","259","1","Australian Sports Commission"
"483","260","1","Asbestos Safety and Eradication Agency"
"484","261","1","Australian Securities and Investments Commission"
"485","261","2","Banking Act 1959, Life Insurance Act 1995, unclaimed monies and special accounts"
"486","262","1","Security Intelligence"
"487","263","1","Secret Intelligence"
"488","263","2","Other Services"
"489","264","1","Regulation and advice"
"490","265","1","Australian Taxation Office"
"491","265","2","Tax Practitioners Board"
"492","265","3","Australian Business Register"
"493","265","4","Australian Charities and Not-for-profits"
"494","265","5","Australian Screen Production Incentive"
"495","265","6","Exploration Development Incentive"
"496","265","7","Fuel Tax Credits Scheme"
"497","265","8","National Rental Affordability Scheme"
"498","265","9","Product Stewardship for Oil"
"499","265","10","Research and Development Tax Incentive"
"500","265","11","Low Income Earner Superannuation Contribution"
"501","265","12","Private Health Insurance Rebate"
"502","265","13","Superannuation Co-contribution Scheme"
"503","265","14","Superannuation Guarantee Scheme"
"504","265","15","Targeted Assistance Through the Taxation System"
"505","265","16","Interest on Overpayment and Early Payments of Tax"
"506","265","17","Bad and Doubtful Debts and Remissions"
"507","265","18","Other Administered"
"508","266","1","Australian Transport Safety Bureau"
"509","267","1","AUSTRAC"
"510","268","1","Promotion of Australia's export and other international economic interests"
"511","268","2","Programmes to promote Australia's exports and other international economic interests"
"512","269","2","Programmes to promote Australia's exports and other international economic interests"
"513","270","1","Consular and passport services"
"514","271","1","To champion and invest in Australian arts"
"515","272","1","Australian War Memorial"
"516","272","1","Australian War Memorial: Spirit of Anzac Centenary Experience"
"517","273","1","Australian War Memorial"
"518","274","1","Bureau of Meteorology"
"519","275","1","Improved cancer control"
"520","276","1","Civil Aviation Safety Authority"
"521","277","1","Reviewing Climate Change Mitigation Policies"
"522","278","1","Clean Energy Finance Corporation"
"523","279","1","Clean Energy Regulator"
"524","280","1","Clean Energy Regulator"
"525","281","1","Commonwealth Grants Commission"
"526","282","1","Comcare Departmental Outcome 1"
"527","283","1","components"
"528","284","1","Comcare Departmental"
"529","285","1","Arts and Cultural Development"
"530","286","1","Digital Technologies and Communications"
"531","288","1","Cotton Research and Development Corporation"
"532","289","1","National law enforcement information systems and services"
"533","290","1","Superannuation Scheme Governance"
"534","291","1","Research - Science, Services and Innovation Fund"
"535","291","2","National Research Infrastructure - National Facilities and Collections"
"536","291","3","Science and Industry Endowment Fund"
"537","292","1","Other Departmental DHOR"
"538","292","2","Schools Hospitality"
"539","293","1","Other Departmental DHOR"
"540","293","2","Administered"
"541","294","1","Services to the Community - Social Security and Welfare"
"542","294","2","Services to the Community - Health"
"543","294","3","Child Support"
"544","295","1","Border- Revenue Collection"
"545","295","2","Trade Faciliation and Industry Engagement"
"546","296","4","IMA Onshore Management (2015-16 structure) 5,6"
"547","297","4","Refugee and Humanitarian Assistance 4"
"548","298","1","Services to territories"
"549","299","1","Infrastructure investment"
"550","300","1","Regional development"
"551","301","4","Air transport"
"552","302","1","Parks and Reserves"
"553","303","1","Water Reform"
"554","303","1","Water Reform"
"555","304","1","Water Reform"
"556","305","10","Agricultural Resources"
"557","305","5","Horticulture Industry"
"558","305","6","Wool Industry"
"559","305","7","Grains Industry"
"560","305","8","Dairy Industry"
"561","305","9","Meat and Livestock Industry"
"562","305","10","Agricultural Resources"
"563","305","11","Drought Programmes"
"564","305","12","Rural Programmes"
"565","305","11","Drought Programmes"
"566","305","12","Rural Programmes"
"567","305","13","International Market Access"
"568","305","1","Agricultural Adaptation"
"569","305","2","Sustainable Management - Natural Resources"
"570","305","2","Sustainable Management - Natural Resources"
"571","305","4","Fishing Industry"
"572","305","3","Forestry Industry"
"573","305","4","Fishing Industry"
"574","306","4","Fishing Industry"
"575","306","10","Agricultural Resources"
"576","306","12","Rural Programmes"
"577","306","13","International Market Access"
"578","307","1","Biosecurity and Export Services"
"579","307","2","Plant and Animal Health"
"580","307","2","Plant and Animal Health"
"581","308","2","Plant and Animal Health"
"582","309","1","Parliamentary Services"
"583","309","2","Parliament House Works Program"
"584","312","1","Family Tax Benefit"
"585","312","2","Child Payments"
"586","312","3","Income Support for Vulnerable People"
"587","312","4","Income Support for People in Special Circumstances"
"588","312","5","Supplementary Payments and Support for Income Support Recipients"
"589","312","6","Income Support for Seniors"
"590","312","7","Allowances and Concessions for Seniors"
"591","312","8","Income Support for People with Disability"
"592","312","9","Income Support for Carers"
"593","312","10","Working Age Payments"
"594","312","11","Student Payments"
"595","312","12","Program Support for Outcome 1"
"596","314","1","Housing and Homelessness"
"597","314","2","Affordable Housing"
"598","314","3","Program Support for Outcome 4"
"599","315","1","Families and Communities"
"600","315","2","Paid Parental Leave"
"601","315","3","Social and Community Services"
"602","315","4","Support for the Child Care System"
"603","315","5","Child Care Benefit"
"604","315","6","Child Care Rebate"
"605","315","7","Child Care Subsidy"
"606","315","8","Program Support for Outcome 2"
"607","317","1","Disability Mental Health and Carers"
"608","317","2","National Disability Insurance Scheme"
"609","317","3","Program Support for Outcome 3"
"610","318","1","Families and Communities"
"611","318","2","Paid Parental Leave"
"612","318","3","Social and Community Services"
"613","318","4","Support for the Child Care System¹"
"614","318","5","Child Care Benefit¹"
"615","318","6","Child Care Rebate¹"
"616","318","7","Child Care Subsidy¹"
"617","318","8","Program Support for Outcome 2"
"618","319","1","Families and Communities"
"619","320","1","The Digital Transformation Office"
"620","321","1","Veterans' Income Support and Allowances"
"621","321","2","Veterans' Disability Support"
"622","321","3","Assistance to Defence Widow/ers and Dependants"
"623","322","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision - Income Support and Compensation"
"624","323","6","Military Rehabilitation and Compensation Acts Payments - Income Support and Compensation"
"625","323","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision - Income Support and Compensation"
"626","324","1","General Medical Consultations and Services"
"627","324","2","Veterans' Hospital Services"
"628","324","3","Veterans' Pharmaceuticals Benefits"
"629","325","1","War Graves and Commemorations"
"630","325","2","Gallipoli-related Activities"
"631","326","4","Veterans' Community Care and Support"
"632","327","4","Veterans' Community Care and Support"
"633","327","5","Veterans' Counselling and Other Health Services"
"634","327","6","Military Rehabilitation and Compensation Acts - Health and Other Care Services"
"635","328","5","Veterans' Counselling and Other Health Services"
"636","329","1","War Graves and Commemorations"
"637","329","2","Gallipoli-related Activities"
"638","330","1","Veterans' Income Support and Allowances"
"639","330","2","Veterans' Disability Support"
"640","330","3","Assistance to Defence Widow/ers and Dependants"
"641","331","1","General Medical Consultations and Services"
"642","331","2","Veterans' Hospital Services"
"643","331","3","Veterans' Pharmaceuticals Benefits"
"644","332","4","Assistance and Other Compensation for Veterans and Dependants"
"645","332","5","Veterans' Children Education Scheme"
"646","332","6","Military Rehabilitation and Compensation Acts Payments - Income Support and Compensation"
"647","333","6","Military Rehabilitation and Compensation Acts - Health and Other Care Services"
"648","333","7","Adjustment to the Military Rehabilitation and Compensation Acts Liability Provision - Health and Other Care Services"
"649","334","1","War Graves and Commemorations - Fromelles and Pozieres Centenary Services"
