matter	dept	mb
Civil space issues	Industry, Innovation and Science	2018-08-28
Classification	Communications and the Arts	2015-09-21
Classification	Communications and the Arts	2015-09-30
Classification	Communications and the Arts	2016-02-18
Classification	Communications and the Arts	2016-07-19
Classification	Communications and the Arts	2016-09-01
Classification	Communications and the Arts	2016-10-27
Classification	Communications and the Arts	2017-04-13
Classification	Communications and the Arts	2017-11-30
Classification	Communications and the Arts	2017-12-20
Classification	Communications and the Arts	2018-04-19
Classification	Communications and the Arts	2018-05-10
Classification	Communications and the Arts	2018-08-28
Clean fossil fuel energy	Resources, Energy and Tourism	2007-12-03
Clean fossil fuel energy	Resources, Energy and Tourism	2008-01-25
Clean fossil fuel energy	Resources, Energy and Tourism	2008-05-01
Clean fossil fuel energy	Resources, Energy and Tourism	2010-03-08
Clean fossil fuel energy	Resources, Energy and Tourism	2010-05-06
Clean fossil fuel energy	Resources, Energy and Tourism	2010-06-29
Clean fossil fuel energy	Resources, Energy and Tourism	2010-09-14
Climate change adaptation strategy and co-ordination	Climate Change	2008-01-25
Climate change adaptation strategy and co-ordination	Climate Change	2008-05-01
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2010-03-08
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2010-05-06
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2010-06-29
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2010-09-14
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2010-10-14
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2011-10-19
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2011-12-07
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2011-12-14
Climate change adaptation strategy and co-ordination	Climate Change and Energy Efficiency	2012-02-09
Climate change adaptation strategy and co-ordination	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Climate change adaptation strategy and co-ordination	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Climate change adaptation strategy and co-ordination	Environment	2013-09-18
Climate change adaptation strategy and co-ordination	Environment	2013-10-03
Climate change adaptation strategy and co-ordination	Environment	2013-12-12
Climate change adaptation strategy and co-ordination	Environment	2014-12-23
Climate change adaptation strategy and co-ordination	Environment	2015-07-09
Climate change adaptation strategy and co-ordination	Environment	2015-09-21
Climate change adaptation strategy and co-ordination	Environment	2015-09-30
Climate change adaptation strategy and co-ordination	Environment	2016-02-18
Climate change adaptation strategy and co-ordination	Environment and Energy	2016-07-19
Climate change adaptation strategy and co-ordination	Environment and Energy	2016-09-01
Climate change adaptation strategy and co-ordination	Environment and Energy	2016-10-27
Climate change adaptation strategy and co-ordination	Environment and Energy	2017-04-13
Climate change adaptation strategy and co-ordination	Environment and Energy	2017-11-30
Climate change adaptation strategy and co-ordination	Environment and Energy	2017-12-20
Climate change adaptation strategy and co-ordination	Environment and Energy	2018-04-19
Climate change adaptation strategy and co-ordination	Environment and Energy	2018-05-10
Climate change adaptation strategy and co-ordination	Environment and Energy	2018-08-28
Co-ordination of Government Advertising	Finance and Deregulation	2010-09-14
Co-ordination of Government Advertising	Finance and Deregulation	2010-10-14
Co-ordination of Government Advertising	Finance and Deregulation	2011-10-19
Co-ordination of Government Advertising	Finance and Deregulation	2011-12-07
Co-ordination of Government Advertising	Finance and Deregulation	2011-12-14
Co-ordination of Government Advertising	Finance and Deregulation	2012-02-09
Co-ordination of Government Advertising	Finance and Deregulation	2013-03-25
Co-ordination of Government Advertising	Finance and Deregulation	2013-05-16
Co-ordination of Government Advertising	Finance	2013-09-18
Co-ordination of Government Advertising	Finance	2013-10-03
Co-ordination of Government Advertising	Finance	2013-12-12
Co-ordination of Government Advertising	Finance	2014-12-23
Co-ordination of Government Advertising	Finance	2015-07-09
Co-ordination of Government Advertising	Finance	2015-09-21
Co-ordination of Government Advertising	Finance	2015-09-30
Co-ordination of Government Advertising	Finance	2016-02-18
Co-ordination of Government Advertising	Finance	2016-07-19
Co-ordination of Government Advertising	Finance	2016-09-01
Co-ordination of Government Advertising	Finance	2016-10-27
Co-ordination of Government Advertising	Finance	2017-04-13
Co-ordination of Government Advertising	Finance	2017-11-30
Co-ordination of Government Advertising	Finance	2017-12-20
Co-ordination of Government Advertising	Finance	2018-04-19
Co-ordination of Government Advertising	Finance	2018-05-10
Co-ordination of Government Advertising	Finance	2018-08-28
Co-ordination of Government administration	Prime Minister and Cabinet	2001-11-26
Co-ordination of Government administration	Prime Minister and Cabinet	2003-12-18
Co-ordination of Government administration	Prime Minister and Cabinet	2004-10-26
Co-ordination of Government administration	Prime Minister and Cabinet	2004-12-16
Co-ordination of Government administration	Prime Minister and Cabinet	2005-07-21
Co-ordination of Government administration	Prime Minister and Cabinet	2006-01-27
Co-ordination of Government administration	Prime Minister and Cabinet	2006-09-21
Co-ordination of Government administration	Prime Minister and Cabinet	2007-01-30
Co-ordination of Government administration	Prime Minister and Cabinet	2007-12-03
Co-ordination of Government administration	Prime Minister and Cabinet	2008-01-25
Co-ordination of Government administration	Prime Minister and Cabinet	2008-05-01
Co-ordination of Government administration	Prime Minister and Cabinet	2010-03-08
Co-ordination of Government administration	Prime Minister and Cabinet	2010-05-06
Co-ordination of Government administration	Prime Minister and Cabinet	2010-06-29
Co-ordination of Government administration	Prime Minister and Cabinet	2010-09-14
Co-ordination of Government administration	Prime Minister and Cabinet	2010-10-14
Co-ordination of Government administration	Prime Minister and Cabinet	2011-10-19
Co-ordination of Government administration	Prime Minister and Cabinet	2011-12-07
Co-ordination of Government administration	Prime Minister and Cabinet	2012-02-09
Co-ordination of Government administration	Prime Minister and Cabinet	2013-03-25
Co-ordination of Government administration	Prime Minister and Cabinet	2013-05-16
Co-ordination of Government administration	Prime Minister and Cabinet	2013-09-18
Co-ordination of Government administration	Prime Minister and Cabinet	2013-10-03
Co-ordination of Government administration	Prime Minister and Cabinet	2013-12-12
Co-ordination of Government administration	Prime Minister and Cabinet	2014-12-23
Co-ordination of Government administration	Prime Minister and Cabinet	2015-07-09
Co-ordination of Government administration	Prime Minister and Cabinet	2015-09-21
Co-ordination of Government administration	Prime Minister and Cabinet	2015-09-30
Co-ordination of Government administration	Prime Minister and Cabinet	2016-02-18
Co-ordination of Government administration	Prime Minister and Cabinet	2016-07-19
Co-ordination of Government administration	Prime Minister and Cabinet	2016-09-01
Co-ordination of Government administration	Prime Minister and Cabinet	2016-10-27
Co-ordination of Government administration	Prime Minister and Cabinet	2017-04-13
Co-ordination of Government administration	Prime Minister and Cabinet	2017-11-30
Co-ordination of Government administration	Prime Minister and Cabinet	2017-12-20
Co-ordination of Government administration	Prime Minister and Cabinet	2018-04-19
Co-ordination of Government administration	Prime Minister and Cabinet	2018-05-10
Co-ordination of Government administration	Prime Minister and Cabinet	2018-08-28
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2001-11-26
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2003-12-18
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2004-10-26
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2004-12-16
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2005-07-21
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2006-01-27
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2006-09-21
Co-ordination of Government communications and advertising	Prime Minister and Cabinet	2007-01-30
Co-ordination of climate change science activities	Climate Change	2007-12-03
Co-ordination of climate change science activities	Climate Change	2008-01-25
Co-ordination of climate change science activities	Climate Change	2008-05-01
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2010-03-08
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2010-05-06
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2010-06-29
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2010-09-14
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2010-10-14
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2011-10-19
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2011-12-07
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2011-12-14
Co-ordination of climate change science activities	Climate Change and Energy Efficiency	2012-02-09
Co-ordination of climate change science activities	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Co-ordination of climate change science activities	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Co-ordination of climate change science activities	Environment	2013-09-18
Co-ordination of climate change science activities	Environment	2013-10-03
Co-ordination of climate change science activities	Environment	2013-12-12
Co-ordination of climate change science activities	Environment	2014-12-23
Co-ordination of climate change science activities	Environment	2015-07-09
Co-ordination of climate change science activities	Environment	2015-09-21
Co-ordination of climate change science activities	Environment	2015-09-30
Co-ordination of climate change science activities	Environment	2016-02-18
Co-ordination of climate change science activities	Environment and Energy	2016-07-19
Co-ordination of climate change science activities	Environment and Energy	2016-09-01
Co-ordination of climate change science activities	Environment and Energy	2016-10-27
Co-ordination of climate change science activities	Environment and Energy	2017-04-13
Co-ordination of climate change science activities	Environment and Energy	2017-11-30
Co-ordination of climate change science activities	Environment and Energy	2017-12-20
Co-ordination of climate change science activities	Environment and Energy	2018-04-19
Co-ordination of climate change science activities	Environment and Energy	2018-05-10
Co-ordination of climate change science activities	Environment and Energy	2018-08-28
Co-ordination of early childhood development policy and responsibilities	Education	2013-09-18
Co-ordination of early childhood development policy and responsibilities	Education	2013-10-03
Co-ordination of early childhood development policy and responsibilities	Education	2013-12-12
Co-ordination of early childhood development policy and responsibilities	Social Services	2014-12-23
Co-ordination of early childhood development policy and responsibilities	Social Services	2015-07-09
Co-ordination of early childhood development policy and responsibilities	Education and Training	2015-09-21
Co-ordination of early childhood development policy and responsibilities	Education and Training	2015-09-30
Co-ordination of early childhood development policy and responsibilities	Education and Training	2016-02-18
Co-ordination of early childhood development policy and responsibilities	Education and Training	2016-07-19
Co-ordination of early childhood development policy and responsibilities	Education and Training	2016-09-01
Co-ordination of early childhood development policy and responsibilities	Education and Training	2016-10-27
Co-ordination of early childhood development policy and responsibilities	Education and Training	2017-04-13
Co-ordination of early childhood development policy and responsibilities	Education and Training	2017-11-30
Co-ordination of early childhood development policy and responsibilities	Education and Training	2017-12-20
Co-ordination of early childhood development policy and responsibilities	Education and Training	2018-04-19
Co-ordination of early childhood development policy and responsibilities	Education and Training	2018-05-10
Co-ordination of early childhood development policy and responsibilities	Education and Training	2018-08-28
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2010-09-14
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2010-10-14
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2011-10-19
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2011-12-07
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2011-12-14
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2012-02-09
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2013-03-25
Co-ordination of early childhood development policy and responsibilities, including Indigenous early childhood development	Education, Employment and Workplace Relations	2013-05-16
Co-ordination of labour market research	Education, Employment and Workplace Relations	2007-12-03
Co-ordination of labour market research	Education, Employment and Workplace Relations	2008-01-25
Co-ordination of labour market research	Education, Employment and Workplace Relations	2008-05-01
Co-ordination of labour market research	Education, Employment and Workplace Relations	2010-03-08
Co-ordination of labour market research	Education, Employment and Workplace Relations	2010-05-06
Co-ordination of labour market research	Education, Employment and Workplace Relations	2010-06-29
Co-ordination of labour market research	Education, Employment and Workplace Relations	2010-09-14
Co-ordination of labour market research	Education, Employment and Workplace Relations	2010-10-14
Co-ordination of labour market research	Education, Employment and Workplace Relations	2011-10-19
Co-ordination of labour market research	Education, Employment and Workplace Relations	2011-12-07
Co-ordination of labour market research	Education, Employment and Workplace Relations	2011-12-14
Co-ordination of labour market research	Education, Employment and Workplace Relations	2012-02-09
Co-ordination of labour market research	Education, Employment and Workplace Relations	2013-03-25
Co-ordination of labour market research	Education, Employment and Workplace Relations	2013-05-16
Co-ordination of labour market research	Employment	2013-09-18
Co-ordination of labour market research	Employment	2013-10-03
Co-ordination of labour market research	Employment	2013-12-12
Co-ordination of labour market research	Employment	2014-12-23
Co-ordination of labour market research	Employment	2015-07-09
Co-ordination of labour market research	Employment	2015-09-21
Co-ordination of labour market research	Employment	2015-09-30
Co-ordination of labour market research	Employment	2016-02-18
Co-ordination of labour market research	Employment	2016-07-19
Co-ordination of labour market research	Employment	2016-09-01
Co-ordination of labour market research	Employment	2016-10-27
Co-ordination of labour market research	Employment	2017-04-13
Co-ordination of labour market research	Employment	2017-11-30
Co-ordination of labour market research	Jobs and Small Business	2017-12-20
Co-ordination of labour market research	Jobs and Small Business	2018-04-19
Co-ordination of labour market research	Jobs and Small Business	2018-05-10
Co-ordination of labour market research	Jobs and Small Business	2018-08-28
Co-ordination of research policy	Education, Science and Training	2001-11-26
Co-ordination of research policy	Education, Science and Training	2003-12-18
Co-ordination of research policy	Education, Science and Training	2004-10-26
Co-ordination of research policy	Education, Science and Training	2004-12-16
Co-ordination of research policy	Education, Science and Training	2005-07-21
Co-ordination of research policy	Education, Science and Training	2006-01-27
Co-ordination of research policy	Education, Science and Training	2006-09-21
Co-ordination of research policy	Education, Science and Training	2007-01-30
Co-ordination of research policy	Innovation, Industry, Science and Research	2007-12-03
Co-ordination of research policy	Innovation, Industry, Science and Research	2008-01-25
Co-ordination of research policy	Innovation, Industry, Science and Research	2008-05-01
Co-ordination of research policy	Innovation, Industry, Science and Research	2010-03-08
Co-ordination of research policy	Innovation, Industry, Science and Research	2010-05-06
Co-ordination of research policy	Innovation, Industry, Science and Research	2010-06-29
Co-ordination of research policy	Innovation, Industry, Science and Research	2010-09-14
Co-ordination of research policy	Innovation, Industry, Science and Research	2010-10-14
Co-ordination of research policy	Innovation, Industry, Science and Research	2011-10-19
Co-ordination of research policy	Innovation, Industry, Science and Research	2011-12-07
Co-ordination of research policy	Industry, Innovation, Science, Research and Tertiary Education	2011-12-14
Co-ordination of research policy	Industry, Innovation, Science, Research and Tertiary Education	2012-02-09
Co-ordination of research policy	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Co-ordination of research policy	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Co-ordination of research policy	Industry	2013-09-18
Co-ordination of research policy in relation to universities	Education	2013-10-03
Co-ordination of research policy in relation to universities	Education	2013-12-12
Co-ordination of research policy in relation to universities	Education and Training	2014-12-23
Co-ordination of research policy in relation to universities	Education and Training	2015-07-09
Co-ordination of research policy in relation to universities	Education and Training	2015-09-21
Co-ordination of research policy in relation to universities	Education and Training	2015-09-30
Co-ordination of research policy in relation to universities	Education and Training	2016-02-18
Co-ordination of research policy in relation to universities	Education and Training	2016-07-19
Co-ordination of research policy in relation to universities	Education and Training	2016-09-01
Co-ordination of research policy in relation to universities	Education and Training	2016-10-27
Co-ordination of research policy in relation to universities	Education and Training	2017-04-13
Co-ordination of research policy in relation to universities	Education and Training	2017-11-30
Co-ordination of research policy in relation to universities	Education and Training	2017-12-20
Co-ordination of research policy in relation to universities	Education and Training	2018-04-19
Co-ordination of research policy in relation to universities	Education and Training	2018-05-10
Co-ordination of research policy in relation to universities	Education and Training	2018-08-28
Co-ordination of science research policy	Industry	2013-10-03
Co-ordination of science research policy	Industry	2013-12-12
Co-ordination of science research policy	Industry and Science	2014-12-23
Co-ordination of science research policy	Industry and Science	2015-07-09
Co-ordination of science research policy	Industry, Innovation and Science	2015-09-21
Co-ordination of science research policy	Industry, Innovation and Science	2015-09-30
Co-ordination of science research policy	Industry, Innovation and Science	2016-02-18
Co-ordination of science research policy	Industry, Innovation and Science	2016-07-19
Co-ordination of science research policy	Industry, Innovation and Science	2016-09-01
Co-ordination of science research policy	Industry, Innovation and Science	2016-10-27
Co-ordination of science research policy	Industry, Innovation and Science	2017-04-13
Co-ordination of science research policy	Industry, Innovation and Science	2017-11-30
Co-ordination of science research policy	Industry, Innovation and Science	2017-12-20
Co-ordination of science research policy	Industry, Innovation and Science	2018-04-19
Co-ordination of science research policy	Industry, Innovation and Science	2018-05-10
Co-ordination of science research policy	Industry, Innovation and Science	2018-08-28
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2010-09-14
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2010-10-14
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2011-10-19
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2011-12-07
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2011-12-14
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2012-02-09
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2013-03-25
Co-ordination of sustainable communities policy	Sustainability, Environment, Water, Population and Communities	2013-05-16
Co-ordination of sustainable communities policy	Environment	2013-09-18
Co-ordination of sustainable communities policy	Environment	2013-10-03
Co-ordination of sustainable communities policy	Environment	2013-12-12
Co-ordination of sustainable communities policy	Environment	2014-12-23
Co-ordination of sustainable communities policy	Environment	2015-07-09
Co-ordination of sustainable communities policy	Environment	2015-09-21
Co-ordination of sustainable communities policy	Environment	2015-09-30
Co-ordination of sustainable communities policy	Environment	2016-02-18
Co-ordination of sustainable communities policy	Environment and Energy	2016-07-19
Co-ordination of sustainable communities policy	Environment and Energy	2016-09-01
Co-ordination of sustainable communities policy	Environment and Energy	2016-10-27
Co-ordination of sustainable communities policy	Environment and Energy	2017-04-13
Co-ordination of sustainable communities policy	Environment and Energy	2017-11-30
Co-ordination of sustainable communities policy	Environment and Energy	2017-12-20
Co-ordination of sustainable communities policy	Environment and Energy	2018-04-19
Co-ordination of sustainable communities policy	Environment and Energy	2018-05-10
Co-ordination of sustainable communities policy	Environment and Energy	2018-08-28
Collaborative research in science and technology	Industry	2013-12-12
Collaborative research in science and technology	Industry and Science	2014-12-23
Collaborative research in science and technology	Industry and Science	2015-07-09
Collaborative research in science and technology	Industry, Innovation and Science	2015-09-21
Collaborative research in science and technology	Industry, Innovation and Science	2015-09-30
Collaborative research in science and technology	Industry, Innovation and Science	2016-02-18
Collaborative research in science and technology	Industry, Innovation and Science	2016-07-19
Collaborative research in science and technology	Industry, Innovation and Science	2016-09-01
Collaborative research in science and technology	Industry, Innovation and Science	2016-10-27
Collaborative research in science and technology	Industry, Innovation and Science	2017-04-13
Collaborative research in science and technology	Industry, Innovation and Science	2017-11-30
Collaborative research in science and technology	Industry, Innovation and Science	2017-12-20
Collaborative research in science and technology	Industry, Innovation and Science	2018-04-19
Collaborative research in science and technology	Industry, Innovation and Science	2018-05-10
Collaborative research in science and technology	Industry, Innovation and Science	2018-08-28
Commemorations	Veterans' Affairs	2010-09-14
Commemorations	Veterans' Affairs	2010-10-14
Commemorations	Veterans' Affairs	2011-10-19
Commemorations	Veterans' Affairs	2011-12-07
Commemorations	Veterans' Affairs	2011-12-14
Commemorations	Veterans' Affairs	2012-02-09
Commemorations	Veterans' Affairs	2013-03-25
Commemorations	Veterans' Affairs	2013-05-16
Commemorations	Veterans' Affairs	2013-09-18
Commemorations	Veterans' Affairs	2013-10-03
Commemorations	Veterans' Affairs	2013-12-12
Commemorations	Veterans' Affairs	2014-12-23
Commemorations	Veterans' Affairs	2015-07-09
Commemorations	Veterans' Affairs	2015-09-21
Commemorations	Veterans' Affairs	2015-09-30
Commemorations	Veterans' Affairs	2016-02-18
Commemorations	Veterans' Affairs	2016-07-19
Commemorations	Veterans' Affairs	2016-09-01
Commemorations	Veterans' Affairs	2016-10-27
Commemorations	Veterans' Affairs	2017-04-13
Commemorations	Veterans' Affairs	2017-11-30
Commemorations	Veterans' Affairs	2017-12-20
Commemorations	Veterans' Affairs	2018-04-19
Commemorations	Veterans' Affairs	2018-05-10
Commemorations	Veterans' Affairs	2018-08-28
Commercialisation and utilisation of public sector research	Industry	2013-12-12
Commercialisation and utilisation of public sector research	Industry and Science	2014-12-23
Commercialisation and utilisation of public sector research	Industry and Science	2015-07-09
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2015-09-21
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2015-09-30
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2016-02-18
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2016-07-19
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2016-09-01
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2016-10-27
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2017-04-13
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2017-11-30
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2017-12-20
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2018-04-19
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2018-05-10
Commercialisation and utilisation of public sector research	Industry, Innovation and Science	2018-08-28
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Education, Science and Training	2004-12-16
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Education, Science and Training	2005-07-21
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Education, Science and Training	2006-01-27
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Education, Science and Training	2006-09-21
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Education, Science and Training	2007-01-30
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Industry	2013-09-18
Commercialisation and utilisation of public sector research relating to portfolio programmes and agencies	Industry	2013-10-03
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2007-12-03
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2008-01-25
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2008-05-01
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2010-03-08
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2010-05-06
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2010-06-29
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2010-09-14
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2010-10-14
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2011-10-19
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Innovation, Industry, Science and Research	2011-12-07
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Industry, Innovation, Science, Research and Tertiary Education	2011-12-14
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Industry, Innovation, Science, Research and Tertiary Education	2012-02-09
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-03-25
Commercialisation and utilisation of public sector research relating to portfolio programs and agencies	Industry, Innovation, Climate Change, Science, Research and Tertiary Education	2013-05-16
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2001-11-26
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2003-12-18
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2004-10-26
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2004-12-16
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2005-07-21
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2006-01-27
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2006-09-21
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2007-01-30
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2007-12-03
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2008-01-25
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2008-05-01
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2010-03-08
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2010-05-06
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2010-06-29
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2010-09-14
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2010-10-14
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2011-10-19
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2011-12-07
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2011-12-14
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2012-02-09
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2013-03-25
Commodity marketing, including export promotion and agribusiness	Agriculture, Fisheries and Forestry	2013-05-16
Commodity marketing, including export promotion and agribusiness	Agriculture	2013-09-18
Commodity marketing, including export promotion and agribusiness	Agriculture	2013-10-03
Commodity marketing, including export promotion and agribusiness	Agriculture	2013-12-12
Commodity marketing, including export promotion and agribusiness	Agriculture	2014-12-23
Commodity marketing, including export promotion and agribusiness	Agriculture	2015-07-09
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2015-09-30
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2016-02-18
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2016-07-19
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2016-09-01
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2016-10-27
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2017-04-13
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2017-11-30
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2017-12-20
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2018-04-19
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2018-05-10
Commodity marketing, including export promotion and agribusiness	Agriculture and Water Resources	2018-08-28
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2001-11-26
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2003-12-18
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2004-10-26
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2004-12-16
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2005-07-21
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2006-01-27
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2006-09-21
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2007-01-30
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2007-12-03
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2008-01-25
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2008-05-01
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2010-03-08
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2010-05-06
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2010-06-29
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2010-09-14
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2010-10-14
Commodity-specific international organisations and activities	Agriculture, Fisheries and Forestry	2011-10-19
